Battle Quiz #,Question #,Group,Quiz Title,Difficulty,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Fun Fact
113,1,"TWICE","TWICE from Sixteen to stardom quiz","hard","multiple_choice","TWICE's Japanese debut single was which song?","TT Japanese ver.","One More Time","Candy Pop","Wake Me Up","One More Time","One More Time was released in October 2017 and was an original Japanese song, not a Korean remake."
113,2,"TWICE","TWICE members - Once test","easy","multiple_choice","Which survival show did TWICE form on?","Sixteen","I-Land","Produce 101","Girls Planet 999","Sixteen",""
113,3,"Red Velvet","Red Velvet members quiz","medium","multiple_choice","Who is the leader of Red Velvet?","Irene","Wendy","Joy","Seulgi","Irene",""
113,4,"Stray Kids","Stray Kids achievements and records quiz","medium","multiple_choice","Which streaming platform hosted Stray Kids' reality show SKZ Code?","Netflix","YouTube","Mnet","V Live","YouTube","SKZ Code and other variety content are available on Stray Kids' official YouTube channel."
113,5,"Red Velvet","Red Velvet discography quiz","hard","multiple_choice","What is Irene and Seulgi's sub-unit called?","Velvet Duo","Red Velvet - IRENE & SEULGI","I&S","Red Side","Red Velvet - IRENE & SEULGI",""
114,1,"General K-pop","Find the Music Video That Does Not Belong","medium","intruder","Find the MV that is NOT from IVE","Eleven","LOVE DIVE","After LIKE","Hype Boy","Hype Boy","Hype Boy is by NewJeans"
114,2,"General K-pop","K-pop TikTok viral moments","medium","multiple_choice","Which Stray Kids song's dance became a viral TikTok trend?","LALALALA","MANIAC","S-Class","God's Menu","LALALALA",""
114,3,"General K-pop","HYBE groups quiz","medium","multiple_choice","Which HYBE label manages SEVENTEEN?","Big Hit Music","Source Music","ADOR","Pledis Entertainment","Pledis Entertainment",""
114,4,"BLACKPINK","Find the Non-BLACKPINK Member","easy","intruder","Find the intruder","Jennie","Rose","Jisoo","Miyeon","Miyeon","Miyeon was actually a YG trainee alongside BLACKPINK before debuting with (G)I-DLE"
114,5,"General K-pop","K-pop birthplace quiz - where are they from?","hard","multiple_choice","BamBam (GOT7) is from which country?","China","Thailand","Philippines","South Korea","Thailand",""
115,1,"General K-pop","K-pop debut songs true or false","medium","true_false","Stray Kids' debut song was 'District 9'","True","False","","","True",""
115,2,"TXT","TXT true or false - MOA edition","medium","true_false","TXT has 6 members","True","False","","","False",""
115,3,"BTS","BTS music video trivia - can you get 100%?","hard","multiple_choice","Which MV features the members in a fake love hotel setting with rooms for each member?","Blood Sweat & Tears","Fake Love","Black Swan","ON","Fake Love","Fake Love's MV had multiple versions including an extended version with different storylines."
115,4,"General K-pop","K-pop Korean language basics for fans","easy","multiple_choice","What does 'annyeonghaseyo' mean?","Goodbye","I'm sorry","Thank you","Hello (formal)","Hello (formal)",""
115,5,"General K-pop","K-pop OST (drama soundtracks) quiz","hard","multiple_choice","The OST 'Beautiful' from 'Goblin' was sung by which artist?","Crush","IU","Chen","Taeyeon","Crush",""
116,1,"BTS","BTS Wings era deep dive","hard","multiple_choice","What is the name of V's solo track on Wings?","Scenery","Inner Child","Stigma","Singularity","Stigma",""
116,2,"IVE","IVE members quiz","easy","multiple_choice","Which company does IVE belong to?","Starship Entertainment","SM Entertainment","HYBE","JYP Entertainment","Starship Entertainment",""
116,3,"LE SSERAFIM","LE SSERAFIM ANTIFRAGILE to UNFORGIVEN","medium","multiple_choice","Which member of LE SSERAFIM trained in ballet before becoming an idol?","Eunchae","Kazuha","Sakura","Chaewon","Kazuha",""
116,4,"General K-pop","K-pop numbers quiz - how many members?","easy","multiple_choice","Which girl group has only 4 members?","BLACKPINK and aespa","IVE and NewJeans","TWICE and ITZY","Red Velvet and NMIXX","BLACKPINK and aespa",""
116,5,"BTS","Only real ARMYs can pass this BTS debut quiz","medium","multiple_choice","What was BTS's debut single?","No More Dream","We Are Bulletproof Pt.2","N.O","Boy in Luv","No More Dream","No More Dream was released as part of their debut album 2 Cool 4 Skool."
117,1,"Stray Kids","Stray Kids NOEASY to MAXIDENT era","hard","multiple_choice","What was the lead single of 5-STAR?","CASE 143","Thunderous","MANIAC","S-Class","S-Class",""
117,2,"BTS","BTS Map of the Soul era","hard","multiple_choice","Which solo track belongs to Jimin on Map of the Soul: 7?","My Time","Moon","Inner Child","Filter","Filter",""
117,3,"General K-pop","MAMAMOO true or false","medium","true_false","Moonbyul is the main rapper of MAMAMOO","True","False","","","True",""
117,4,"General K-pop","K-pop group leaders quiz","medium","multiple_choice","Who is the leader of Stray Kids?","Han","Felix","Lee Know","Bang Chan","Bang Chan",""
117,5,"MONSTA X","MONSTA X quiz","medium","multiple_choice","Which company does MONSTA X belong to?","Starship Entertainment","Cube Entertainment","JYP Entertainment","SM Entertainment","Starship Entertainment",""
118,1,"General K-pop","f(x) quiz - SM's unique girl group","hard","multiple_choice","What was f(x)'s debut song?","LA chA TA","Nu ABO","Electric Shock","Rum Pum Pum Pum","LA chA TA",""
118,2,"TWICE","TWICE members - Once test","easy","multiple_choice","What was TWICE's debut song?","TT","Like Ooh-Ahh","Knock Knock","Cheer Up","Like Ooh-Ahh",""
118,3,"IVE","IVE After LIKE to I AM era","medium","multiple_choice","What is the name of IVE's first EP?","ELEVEN","After LIKE","LOVE DIVE","I've IVE","I've IVE",""
118,4,"BLACKPINK","Are you a true BLINK? BLACKPINK trivia","easy","multiple_choice","Which company is BLACKPINK under?","SM Entertainment","JYP Entertainment","YG Entertainment","HYBE","YG Entertainment","YG Entertainment is also home to artists like BIGBANG and WINNER."
118,5,"EXO","EXO true or false","medium","true_false","Suho is the leader of EXO","True","False","","","True",""
119,1,"ITZY","ITZY true or false","easy","true_false","ITZY debuted in 2020","True","False","","","False",""
119,2,"General K-pop","K-pop OST (drama soundtracks) quiz","hard","multiple_choice","Which BTS member sang an OST for the drama 'Hwarang'?","Jungkook","RM","Jimin","V (and Jin - 'It's Definitely You')","V (and Jin - 'It's Definitely You')",""
119,3,"General K-pop","K-pop idols in dramas true or false","medium","true_false","Jisoo from BLACKPINK acted in 'Snowdrop'","True","False","","","True",""
119,4,"General K-pop","K-pop fun facts true or false - volume 2","hard","true_false","SM Entertainment was founded by Park Jin-young","True","False","","","False",""
119,5,"General K-pop","K-pop Korean language basics for fans","easy","multiple_choice","What does 'daebak' mean?","Amazing / Awesome / Jackpot","Boring","Terrible","Scary","Amazing / Awesome / Jackpot",""
120,1,"NewJeans","NewJeans true or false","medium","true_false","Danielle is Korean-Australian","True","False","","","True",""
120,2,"General K-pop","K-pop fandom names true or false","easy","true_false","BLINK is the fandom name for BLACKPINK","True","False","","","True",""
120,3,"MONSTA X","MONSTA X quiz","medium","multiple_choice","Who is the leader of MONSTA X?","Joohoney","Shownu","Minhyuk","Kihyun","Shownu",""
120,4,"General K-pop","Which year did this song come out?","hard","multiple_choice","When was 'Growl' by EXO released?","2012","2014","2015","2013","2013",""
120,5,"General K-pop","K-pop variety show moments","hard","multiple_choice","Which K-pop variety show format has idols sit in school desks with celebrity hosts?","Weekly Idol","Idol Room","Running Man","Knowing Brothers (Ask Us Anything)","Knowing Brothers (Ask Us Anything)",""
121,1,"MONSTA X","MONSTA X quiz","medium","multiple_choice","Which survival show formed MONSTA X?","No.Mercy","Produce 101","Kingdom","I-Land","No.Mercy",""
121,2,"LE SSERAFIM","LE SSERAFIM basics","easy","multiple_choice","Which company does LE SSERAFIM belong to?","SM Entertainment","YG Entertainment","Source Music / HYBE","JYP Entertainment","Source Music / HYBE",""
121,3,"BTS","K-pop BT21 characters quiz","medium","multiple_choice","BT21 is a collaboration between BTS and which company?","Samsung","Kakao","Naver","LINE Friends","LINE Friends",""
121,4,"aespa","aespa true or false","medium","true_false","aespa's concept involves a virtual world called KWANGYA","True","False","","","True",""
121,5,"LE SSERAFIM","LE SSERAFIM ANTIFRAGILE to UNFORGIVEN","medium","multiple_choice","What was LE SSERAFIM's second title track after FEARLESS?","Smart","UNFORGIVEN","ANTIFRAGILE","Perfect Night","ANTIFRAGILE",""
122,1,"TWICE","TWICE title tracks challenge - name that song","medium","multiple_choice","The TT in TWICE's song TT represents what?","A dance move","A crying emoticon","Their initials","A drumbeat","A crying emoticon","TT represents the crying emoticon T_T and the song's iconic hand gesture mimics tears falling."
122,2,"General K-pop","K-pop Produce series quiz","hard","multiple_choice","Produce X 101 formed which group?","IZ*ONE","ENHYPEN","Wanna One","X1","X1",""
122,3,"General K-pop","Find the 3rd Gen Intruder Among 4th Gen","hard","intruder","Find the idol who is NOT 4th gen","Yeonjun (TXT)","Jake (ENHYPEN)","Jongseob (P1Harmony)","Jungkook (BTS)","Jungkook (BTS)","Jungkook debuted with BTS in 2013"
122,4,"General K-pop","K-pop group leaders quiz","medium","multiple_choice","Who is the leader of TWICE?","Jeongyeon","Momo","Nayeon","Jihyo","Jihyo",""
122,5,"General K-pop","Name That Boy Group Album","hard","image","Which album is this?","Obsession","Tempo","Exodus","XOXO","Obsession","Obsession featured an X-EXO concept with alter ego versions"
123,1,"IVE","IVE discography and hits","medium","multiple_choice","Which song came first: 'LOVE DIVE' or 'After LIKE'?","They were released at the same time","LOVE DIVE","Neither - they released 'I AM' first","After LIKE","LOVE DIVE",""
123,2,"Stray Kids","Only real STAYs can ace this Stray Kids quiz","easy","multiple_choice","When did Stray Kids debut?","January 8, 2018","March 25, 2018","October 1, 2017","June 15, 2018","March 25, 2018","Stray Kids officially debuted on March 25, 2018 with the EP I Am NOT."
123,3,"ATEEZ","ATEEZ true or false","medium","true_false","ATEEZ debuted in 2019","True","False","","","False",""
123,4,"Red Velvet","Red Velvet discography quiz","hard","multiple_choice","Which Red Velvet song became a massive hit in 2019?","Zimzalabim","Psycho","Umpah Umpah","Power Up","Psycho",""
123,5,"BTS","BTS music video trivia - can you get 100%?","hard","multiple_choice","Which MV features BTS in a colorful retro-disco setting?","IDOL","Dynamite","Boy With Luv","Permission to Dance","Dynamite","Dynamite was BTS's first fully English-language song and had a vibrant retro concept."
124,1,"BTS","K-pop BT21 characters quiz","medium","multiple_choice","Which BT21 character was created by V?","Mang","Tata","Koya","Cooky","Tata",""
124,2,"General K-pop","Which company is this group from?","medium","multiple_choice","Which company is TXT from?","JYP Entertainment","Big Hit Music / HYBE","YG Entertainment","SM Entertainment","Big Hit Music / HYBE",""
124,3,"BLACKPINK","Find the Non-BLACKPINK Member","easy","intruder","Find the intruder","Rose","Jisoo","Lisa","Yuna","Yuna","Yuna is the youngest member of ITZY"
124,4,"TWICE","ONCE check - how well do you know TWICE?","easy","multiple_choice","Which member is from Taiwan?","Mina","Sana","Tzuyu","Dahyun","Tzuyu","Tzuyu (Chou Tzu-yu) is from Tainan, Taiwan and is the youngest member of TWICE."
124,5,"General K-pop","Find the Music Video That Does Not Belong","medium","intruder","Find the MV that is NOT from TWICE","What is Love?","Fancy","Feel Special","Psycho","Psycho","Psycho is by Red Velvet"
125,1,"BLACKPINK","BLACKPINK discography deep dive","medium","multiple_choice","Which BLACKPINK member released the solo single 'SOLO'?","Jisoo","Rose","Jennie","Lisa","Jennie",""
125,2,"General K-pop","K-pop debut years true or false","medium","true_false","aespa debuted in 2020","True","False","","","True",""
125,3,"General K-pop","Find the 3rd Gen Intruder Among 4th Gen","hard","intruder","Find the idol who is NOT 4th gen","Kazuha (LE SSERAFIM)","Sullyoon (NMIXX)","Haerin (NewJeans)","Momo (TWICE)","Momo (TWICE)","Momo debuted with TWICE in 2015"
125,4,"EXO","EXO discography challenge","hard","multiple_choice","Which EXO sub-unit consists of Sehun and Chanyeol?","EXO-M","EXO-K","EXO-SC","EXO-CBX","EXO-SC",""
125,5,"SEVENTEEN","SEVENTEEN units quiz","medium","multiple_choice","What year did SEVENTEEN debut?","2016","2017","2014","2015","2015",""
126,1,"ITZY","ITZY discography deep dive","medium","multiple_choice","Who is the maknae (youngest) of ITZY?","Yuna","Chaeryeong","Ryujin","Lia","Yuna",""
126,2,"General K-pop","Super Junior legacy quiz","medium","multiple_choice","Which Super Junior sub-unit had the hit 'Oppa Oppa'?","Super Junior-K.R.Y.","Super Junior-M","Super Junior-T","Super Junior-D&E (Donghae & Eunhyuk)","Super Junior-D&E (Donghae & Eunhyuk)",""
126,3,"General K-pop","Name That Album Cover","hard","image","Which album is this?","ROCK-STAR","5-STAR","MAXIDENT","ODDINARY","ROCK-STAR","ROCK-STAR debuted at number one on the Billboard 200"
126,4,"General K-pop","Find the 3rd Gen Intruder Among 4th Gen","hard","intruder","Find the idol who is NOT 4th gen","Ryujin (ITZY)","Winter (aespa)","Jiwoo (NMIXX)","Seulgi (Red Velvet)","Seulgi (Red Velvet)","Seulgi trained at SM for 7 years before debuting"
126,5,"General K-pop","K-pop collaboration with Western artists","medium","true_false","BLACKPINK collaborated with Dua Lipa on 'Kiss and Make Up'","True","False","","","True",""
127,1,"General K-pop","K-pop choreography quiz","medium","multiple_choice","Which choreographer is known for creating BTS's choreography?","Bae Yoonjung","Lia Kim","Son Sung-deuk","Brian Puspos","Son Sung-deuk",""
127,2,"General K-pop","MAMAMOO members and facts","medium","multiple_choice","Which company does MAMAMOO belong to?","SM Entertainment","RBW Entertainment","YG Entertainment","JYP Entertainment","RBW Entertainment",""
127,3,"General K-pop","Find the Music Video That Does Not Belong","medium","intruder","Find the MV that is NOT from LE SSERAFIM","ANTIFRAGILE","UNFORGIVEN","FEARLESS","Eleven","Eleven","Eleven is IVE debut song"
127,4,"IVE","IVE discography and hits","medium","multiple_choice","Which IVE song includes the lyrics 'Narcissistic, my god I love it'?","ELEVEN","LOVE DIVE","I AM","After LIKE","LOVE DIVE",""
127,5,"IVE","IVE discography and hits","medium","multiple_choice","Who is the youngest member of IVE?","Rei","Liz","Gaeul","Leeseo","Leeseo",""
128,1,"General K-pop","K-pop English songs quiz","medium","multiple_choice","Which BLACKPINK song is entirely in English?","Lovesick Girls","Ice Cream (ft. Selena Gomez)","Kill This Love","DDU-DU DDU-DU","Ice Cream (ft. Selena Gomez)",""
128,2,"Stray Kids","Stray Kids - know each member","hard","multiple_choice","Lee Know (Minho) is known for his love of which animals?","Dogs","Cats","Hamsters","Rabbits","Cats",""
128,3,"TXT","TXT true or false - MOA edition","medium","true_false","Soobin hosted the music show 'Music Bank'","True","False","","","True",""
128,4,"BTS","BTS world records and achievements quiz","medium","multiple_choice","What is the name of BTS's official fan club?","BLINK","ARMY","ONCE","CARAT","ARMY","ARMY stands for Adorable Representative M.C. for Youth."
128,5,"General K-pop","K-pop dating and relationships - verified facts only","hard","true_false","K-pop dating scandals can significantly impact an idol's career and public image","True","False","","","True",""
129,1,"Stray Kids","Stray Kids achievements and records quiz","medium","multiple_choice","How many Stray Kids albums have reached #1 on the Billboard 200?","1","2","3","4","4","ODDINARY, 5-STAR, ATE, and Rock-Star all reached #1 on the Billboard 200."
129,2,"ENHYPEN","ENHYPEN members deep dive","hard","multiple_choice","Who is the oldest member of ENHYPEN?","Jay","Sunghoon","Heeseung","Jake","Heeseung",""
129,3,"General K-pop","K-pop survival shows quiz","hard","multiple_choice","Which survival show formed the group Kep1er?","Girls Planet 999","Produce 48","Produce 101","I-Land","Girls Planet 999",""
129,4,"NewJeans","NewJeans Hype Boy vs Attention quiz","medium","multiple_choice","How old was the youngest NewJeans member (Hyein) when the group debuted?","14 years old","12 years old","15 years old","16 years old","14 years old",""
129,5,"TWICE","TWICE true or false","medium","true_false","Three TWICE members are from Japan","True","False","","","True",""
130,1,"BLACKPINK","BLACKPINK world tour and performances quiz","hard","multiple_choice","What was BLACKPINK's first world tour called?","Born Pink World Tour","In Your Area","The Show","Blinks World Tour","In Your Area","BLACKPINK In Your Area World Tour ran from 2018-2020 across Asia, North America, Europe, and Australia."
130,2,"NewJeans","NewJeans discography and facts","medium","multiple_choice","Who is the oldest member of NewJeans?","Haerin","Hanni","Danielle","Minji","Minji",""
130,3,"General K-pop","Which group is this member from?","medium","multiple_choice","Chaewon is a member of which group?","aespa","NewJeans","IVE","LE SSERAFIM","LE SSERAFIM",""
130,4,"TWICE","ONCE check - how well do you know TWICE?","easy","multiple_choice","How many Japanese members are in TWICE?","1","2","3","4","3","Momo, Sana, and Mina are the three Japanese members, sometimes called MiSaMo."
130,5,"NCT","NCT 127 basics","medium","multiple_choice","Which company does NCT belong to?","YG Entertainment","HYBE","SM Entertainment","JYP Entertainment","SM Entertainment",""
131,1,"aespa","MY quiz - how well do you know aespa?","easy","multiple_choice","What is the name of aespa's debut song?","Next Level","Savage","Black Mamba","Forever","Black Mamba","Black Mamba is also the name of the villain in aespa's universe lore."
131,2,"General K-pop","K-pop 2nd generation legends","medium","multiple_choice","Which 2nd gen girl group had the hits 'Nobody' and 'Tell Me'?","Wonder Girls","Girls' Generation","2NE1","f(x)","Wonder Girls",""
131,3,"TWICE","TWICE members - Once test","easy","multiple_choice","Which TWICE member is from Japan and known for her shy personality?","Momo","Mina","Sana","Tzuyu","Momo",""
131,4,"aespa","MY quiz - how well do you know aespa?","easy","multiple_choice","How many members are in aespa?","3","4","5","6","4","aespa has 4 members: Karina, Giselle, Winter, and NingNing."
131,5,"General K-pop","K-pop debut years true or false","medium","true_false","BTS debuted before EXO","True","False","","","False",""
132,1,"General K-pop","NCT system explained quiz","hard","multiple_choice","What does NCT stand for?","Neo Contemporary Talent","Next Culture Trend","Neo Culture Technology","New Creative Team","Neo Culture Technology",""
132,2,"General K-pop","K-pop food and mukbang culture","easy","true_false","K-pop trainees typically have strict diet restrictions","True","False","","","True",""
132,3,"EXO","EXO members quiz","medium","multiple_choice","Which company does EXO belong to?","SM Entertainment","JYP Entertainment","YG Entertainment","HYBE","SM Entertainment",""
132,4,"General K-pop","f(x) quiz - SM's unique girl group","hard","multiple_choice","f(x) was known for their experimental and quirky concept. Which song exemplified this?","Hot Summer","4 Walls","Pinocchio","Danger","4 Walls",""
132,5,"BTS","BTS Love Yourself era quiz","hard","multiple_choice","Love Yourself: Answer is what type of album?","A brand new studio album","A Japanese album","A live album","Repackage/compilation of the series","Repackage/compilation of the series",""
133,1,"BTS","BTS members - know your biases","easy","multiple_choice","Who is known as 'Worldwide Handsome'?","V","Jimin","Jungkook","Jin","Jin",""
133,2,"General K-pop","K-pop fandom names quiz","easy","multiple_choice","What is BLACKPINK's fandom called?","ONCE","CARAT","ARMY","BLINK","BLINK",""
133,3,"General K-pop","Kep1er quiz","medium","multiple_choice","Which survival show formed Kep1er?","Girls Planet 999","Produce 48","I-LAND","Sixteen","Girls Planet 999",""
133,4,"IVE","IVE After LIKE to I AM era","medium","multiple_choice","Which classic disco song does 'After LIKE' sample?","I Will Survive by Gloria Gaynor","Stayin' Alive by Bee Gees","Dancing Queen by ABBA","Boogie Wonderland by Earth, Wind & Fire","I Will Survive by Gloria Gaynor",""
133,5,"(G)I-DLE","(G)I-DLE members and facts","medium","multiple_choice","Which (G)I-DLE member is from Thailand?","Shuhua","Miyeon","Minnie","Yuqi","Minnie",""
134,1,"General K-pop","K-pop military service deep dive","medium","true_false","Jin was the first BTS member to enlist for military service","True","False","","","True",""
134,2,"BTS","BTS music video trivia - can you get 100%?","hard","multiple_choice","In which MV does Jungkook jump off a building into water?","Run","I Need U","Euphoria","Spring Day","Euphoria","The Euphoria MV features dreamlike sequences with Jungkook bungee jumping and flying."
134,3,"General K-pop","K-pop debut songs true or false","medium","true_false","aespa's debut song was 'Next Level'","True","False","","","False",""
134,4,"LE SSERAFIM","LE SSERAFIM true or false","medium","true_false","LE SSERAFIM's debut song was 'ANTIFRAGILE'","True","False","","","False",""
134,5,"BTS","BTS solo careers quiz","hard","multiple_choice","What is the name of V's solo mini album?","Layover","Winter Bear","Scenery","Blue","Layover",""
135,1,"General K-pop","Complete the K-pop song title","medium","multiple_choice","aespa - 'Next ___'","Stage","Chapter","Level","Step","Level",""
135,2,"NMIXX","NMIXX members quiz","medium","multiple_choice","What is NMIXX's fandom name?","MIXX","NSWer","MIXXY","NSWER","NSWer",""
135,3,"BTS","How well do you know BTS members?","easy","multiple_choice","Which BTS member is known for the catchphrase 'I purple you'?","Jimin","V","Jungkook","RM","V","V (Kim Taehyung) coined the phrase at a fan meeting in 2016, saying purple is the last color of the rainbow meaning trust and love."
135,4,"General K-pop","Can You Recognize These Idols as Kids?","hard","image","Who is this idol as a child?","G-Dragon","Taeyang","T.O.P","Daesung","G-Dragon","G-Dragon has been a trainee since age 8 and appeared in a music video at age 5"
135,5,"NewJeans","NewJeans discography and facts","medium","multiple_choice","Which NewJeans song features the lyrics 'You make it look so easy'?","Cool With You","Super Shy","ETA","ASAP","Super Shy",""
136,1,"General K-pop","Find the 3rd Gen Intruder Among 4th Gen","hard","intruder","Find the idol who is NOT 4th gen","Yeji (ITZY)","Miyeon ((G)I-DLE)","Chaewon (LE SSERAFIM)","Joy (Red Velvet)","Joy (Red Velvet)","Joy debuted with Red Velvet in 2014"
136,2,"General K-pop","Which company is this group from?","medium","multiple_choice","Which company is IVE from?","Starship Entertainment","SM Entertainment","HYBE","JYP Entertainment","Starship Entertainment",""
136,3,"EXO","EXO members and positions","medium","multiple_choice","Which EXO member became a successful solo artist with albums like 'City Lights' and 'Delight'?","Suho","Chen","Baekhyun","D.O.","Baekhyun",""
136,4,"TWICE","TWICE from Sixteen to stardom quiz","hard","multiple_choice","TWICE's first daesang (grand prize) at year-end awards was for which song?","Like Ooh-Ahh","Cheer Up","TT","Signal","Cheer Up","Cheer Up won Song of the Year at both MAMA and MMA in 2016."
136,5,"General K-pop","K-pop girl group generations timeline","hard","multiple_choice","Which girl group debuted first: aespa or IVE?","They debuted the same year","aespa (Nov 2020) - IVE debuted in Dec 2021","Neither debuted yet","IVE debuted first","aespa (Nov 2020) - IVE debuted in Dec 2021",""
137,1,"BTS","BTS Love Yourself era quiz","hard","multiple_choice","Which was the first album in the Love Yourself series?","Love Yourself: Tear","Love Yourself: Her","Love Yourself: Answer","Love Yourself: Wonder","Love Yourself: Her",""
137,2,"TXT","TXT discography deep dive","hard","multiple_choice","What is the lead single of The Name Chapter: TEMPTATION?","Sugar Rush Ride","Chasing That Feeling","Tinnitus","Happy Fools","Sugar Rush Ride",""
137,3,"General K-pop","TREASURE basics","medium","multiple_choice","What survival show formed TREASURE?","Kingdom","I-LAND","YG Treasure Box","Produce 101","YG Treasure Box",""
137,4,"NewJeans","NewJeans discography and facts","medium","multiple_choice","Which label did NewJeans originally debut under?","HYBE Labels","ADOR","Big Hit Music","Source Music","ADOR",""
137,5,"ATEEZ","ATEEZ members quiz","medium","multiple_choice","Who is the main rapper of ATEEZ?","Hongjoong","Wooyoung","San","Mingi","Hongjoong",""
138,1,"ITZY","ITZY members quiz","easy","multiple_choice","What was ITZY's debut song?","DALLA DALLA","Not Shy","ICY","WANNABE","DALLA DALLA",""
138,2,"General K-pop","K-pop music show programs quiz","medium","multiple_choice","Which TV channel broadcasts 'Music Bank'?","Mnet","MBC","KBS","SBS","KBS",""
138,3,"General K-pop","K-pop companies quiz","medium","multiple_choice","HYBE was formerly known as what?","Big Hit Entertainment","Pledis Entertainment","KOZ Entertainment","Source Music","Big Hit Entertainment",""
138,4,"General K-pop","K-pop positions explained quiz","easy","multiple_choice","What is a 'Sub-Vocalist'?","A member who sings supporting vocal parts","The weakest singer","A member who only raps","A substitute member","A member who sings supporting vocal parts",""
138,5,"BTS","BTS discography challenge - name that era","hard","multiple_choice","Which album features the song Blood Sweat & Tears?","The Most Beautiful Moment in Life","Wings","Love Yourself: Her","Map of the Soul: 7","Wings","Wings was released in October 2016 and marked BTS's first album to chart on the Billboard 200."
139,1,"NMIXX","NMIXX members quiz","medium","multiple_choice","What is NMIXX's genre-blending musical style often called?","Fusion K-pop","MIXX POP","New Pop","Mix Wave","MIXX POP",""
139,2,"BTS","BTS Wings era deep dive","hard","multiple_choice","The Wings album was inspired by which novel?","The Alchemist by Paulo Coelho","Demian by Hermann Hesse","Norwegian Wood by Haruki Murakami","1984 by George Orwell","Demian by Hermann Hesse",""
139,3,"TWICE","TWICE members facts quiz","medium","multiple_choice","Which member is known for her elegant ballet background?","Momo","Mina","Sana","Tzuyu","Mina","Mina trained in ballet for over 10 years and her graceful style is evident in TWICE's performances."
139,4,"General K-pop","K-pop Korean language basics for fans","easy","multiple_choice","What does 'gamsahamnida' mean?","I'm sorry","Hello","Thank you (formal)","Goodbye","Thank you (formal)",""
139,5,"Red Velvet","Red Velvet members quiz","medium","multiple_choice","What year did Red Velvet debut?","2015","2016","2013","2014","2014",""
140,1,"Stray Kids","Stray Kids members deep knowledge","hard","multiple_choice","Who is the youngest member (maknae) of Stray Kids?","Felix","I.N","Jeongin","Seungmin","I.N",""
140,2,"General K-pop","K-pop TikTok viral moments","medium","multiple_choice","Lisa's 'MONEY' became one of the most-used K-pop songs on TikTok. From which album is it?","LALISA (solo single album)","THE ALBUM","Square Up","BORN PINK","LALISA (solo single album)",""
140,3,"ENHYPEN","ENHYPEN discography quiz","medium","multiple_choice","Which ENHYPEN song features a vampire concept?","Bite Me","Drunk-Dazed","Fever","Given-Taken","Bite Me",""
140,4,"BLACKPINK","Are you a true BLINK? BLACKPINK trivia","easy","multiple_choice","When did BLACKPINK debut?","August 8, 2015","August 8, 2016","November 1, 2016","January 15, 2017","August 8, 2016","BLACKPINK debuted under YG Entertainment with a double single: Boombayah and Whistle."
140,5,"General K-pop","K-pop lightstick colors and shapes","hard","true_false","BLACKPINK's lightstick is shaped like a star","True","False","","","False",""
141,1,"General K-pop","Name That Album Cover","hard","image","Which album is this?","Armageddon","MY WORLD","Drama","Savage","Armageddon","Armageddon features the hit single Supernova which went viral on TikTok"
141,2,"MONSTA X","MONSTA X quiz","medium","multiple_choice","Which MONSTA X song was their English-language debut?","You Can't Hold My Heart","LOVE","Middle of the Night","WHO DO U LOVE?","WHO DO U LOVE?",""
141,3,"General K-pop","K-pop food quiz - idols and their favorites","easy","true_false","Kimchi is made from fermented cabbage and is a staple in Korean cuisine","True","False","","","True",""
141,4,"General K-pop","Which group is this member from? (boy groups)","medium","multiple_choice","Taeyong is a member of which group?","SEVENTEEN","Stray Kids","NCT","ATEEZ","NCT",""
141,5,"Stray Kids","How well do you know SKZ members?","easy","multiple_choice","Who is the maknae (youngest) of Stray Kids?","Felix","Seungmin","I.N","Han","I.N","I.N (Yang Jeongin) was born on February 8, 2001."
142,1,"General K-pop","Which year did this song come out?","hard","multiple_choice","When was 'DDU-DU DDU-DU' by BLACKPINK released?","2020","2017","2018","2019","2018",""
142,2,"General K-pop","Can You Recognize These Idols as Kids?","hard","image","Who is this idol as a child?","Sana","Momo","Nayeon","Tzuyu","Sana","Sana was scouted on the street while shopping in Japan"
142,3,"General K-pop","K-pop positions explained quiz","easy","multiple_choice","What does the 'Center' position mean?","The member who sings the chorus","The tallest member","The leader","The member who stands in the center of formations and gets the most screen time","The member who stands in the center of formations and gets the most screen time",""
142,4,"General K-pop","YG Entertainment groups quiz","medium","multiple_choice","Which of these groups is NOT under YG Entertainment?","BLACKPINK","BTS","BIGBANG","TREASURE","BTS",""
142,5,"TXT","TXT discography deep dive","hard","multiple_choice","Which TXT song became a viral hit with its retro concept?","Cat & Dog","Run Away","Crown","Blue Hour","Blue Hour",""
143,1,"General K-pop","K-pop concert and tour facts","hard","multiple_choice","BLACKPINK's BORN PINK World Tour visited how many countries approximately?","15 countries","10 countries","Over 30 countries","5 countries","Over 30 countries",""
143,2,"General K-pop","K-pop military service deep dive","medium","true_false","Female K-pop idols also have to complete military service","True","False","","","False",""
143,3,"General K-pop","JYP Entertainment groups quiz","medium","multiple_choice","Which JYP girl group debuted first?","miss A (2010)","ITZY (2019)","TWICE (2015)","NMIXX (2022)","TWICE (2015)",""
143,4,"General K-pop","K-pop sasaeng and fan culture dark side","medium","true_false","Most K-pop fans are sasaengs","True","False","","","False",""
143,5,"General K-pop","K-pop songs of 2023 quiz","medium","multiple_choice","Which group released 'S-Class' in 2023?","ATEEZ","TXT","ENHYPEN","Stray Kids","Stray Kids",""
